_u1.date,_u1.ticker,_u1.cik,_u1.open,_u1.high,_u1.low,_u1.close,_u1.adj_close,_u1.volume
2020-12-07,YUM,0001041061,105.52999877929688,105.69000244140625,104.66999816894531,105.23999786376953,99.18115997314453,1507200
2020-12-08,YUM,0001041061,104.5999984741211,105.62999725341797,104.4800033569336,105.1500015258789,99.09635162353516,1421200
2020-12-09,YUM,0001041061,105.5999984741211,106.91000366210938,105.0999984741211,106.56999969482422,100.4345932006836,1431700
2020-12-10,YUM,0001041061,106.16000366210938,107.08000183105469,105.9000015258789,106.45999908447266,100.33091735839844,1347800
2020-12-11,YUM,0001041061,105.87999725341797,106.5,105.3499984741211,105.98999786376953,99.88796997070312,1538300
2020-12-14,YUM,0001041061,106.88999938964844,106.88999938964844,105.33000183105469,105.5,99.42619323730469,2015300
2020-12-15,YUM,0001041061,106.37999725341797,107.6500015258789,105.97000122070312,107.37999725341797,101.19795989990234,2357700
2020-12-16,YUM,0001041061,107.51000213623047,108.63999938964844,107.16999816894531,107.41999816894531,101.23564147949219,2412400
2020-12-17,YUM,0001041061,108.7300033569336,108.87999725341797,107.8499984741211,108.79000091552734,102.52678680419922,2842700
2020-12-18,YUM,0001041061,108.81999969482422,110.16999816894531,108.80000305175781,109.77999877929688,103.45977783203125,4513800
2020-12-21,YUM,0001041061,108.12000274658203,109.44999694824219,106.66999816894531,108.62999725341797,102.37599182128906,1288900
2020-12-22,YUM,0001041061,108.05999755859375,108.31999969482422,107.0199966430664,107.4000015258789,101.21681213378906,1199300
2020-12-23,YUM,0001041061,107.16000366210938,107.93000030517578,106.79000091552734,106.79000091552734,100.64192199707031,884700
2020-12-24,YUM,0001041061,107.22000122070312,107.69000244140625,106.94000244140625,107.54000091552734,101.3487548828125,340400
2020-12-28,YUM,0001041061,108.48999786376953,109.8499984741211,107.37999725341797,109.77999877929688,103.45977783203125,1822900
2020-12-29,YUM,0001041061,109.62999725341797,110.55999755859375,109.4000015258789,109.44999694824219,103.1487808227539,1818300
2020-12-30,YUM,0001041061,109.3499984741211,110.66000366210938,109.33000183105469,109.51000213623047,103.20532989501953,1267900
